Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
25,Cam Thomas,23,BRK,SG,25,23,31.2,8,18.2,0.438,2.7,7.8,0.349,5.2,10.4,0.506,0.513,5.3,6,0.881,0.6,2.7,3.3,3.8,0.6,0.1,2.5,1.8,24,
26,Tyler Herro,25,MIA,SG,77,77,35.4,8.5,17.9,0.472,3.3,8.7,0.375,5.2,9.2,0.565,0.563,3.7,4.2,0.878,0.5,4.7,5.2,5.5,0.9,0.2,2.6,1.1,23.9,
27,Joel Embiid,30,PHI,C,19,19,30.2,7.4,16.6,0.444,1.2,4.1,0.299,6.2,12.5,0.492,0.481,7.8,8.9,0.882,1.9,6.3,8.2,4.5,0.7,0.9,3.3,2.2,23.8,
28,De'Aaron Fox,27,2TM,PG,62,62,36.1,8.7,18.8,0.463,1.9,6.1,0.31,6.8,12.6,0.538,0.514,4.2,5.1,0.827,0.9,3.9,4.8,6.3,1.5,0.4,2.8,2.6,23.5,
28,De'Aaron Fox,27,SAC,PG,45,45,37,9.2,19.6,0.469,2,6.4,0.322,7.2,13.3,0.539,0.521,4.5,5.5,0.829,1,4,5,6.1,1.5,0.4,3,2.6,25,
28,De'Aaron Fox,27,SAS,PG,17,17,34,7.4,16.5,0.446,1.5,5.6,0.274,5.8,10.9,0.535,0.493,3.5,4.2,0.819,0.5,3.8,4.3,6.8,1.5,0.3,2.4,2.7,19.7,
29,Zach LaVine,29,2TM,SF,74,74,35.2,8.4,16.5,0.511,3.2,7.2,0.446,5.2,9.3,0.562,0.609,3.2,3.9,0.825,0.3,4,4.3,4.2,0.8,0.2,2.8,1.6,23.3,
29,Zach LaVine,29,CHI,SF,42,42,34.1,8.6,16.9,0.511,3.2,7.3,0.446,5.4,9.6,0.56,0.607,3.5,4.3,0.797,0.3,4.5,4.8,4.5,0.9,0.2,2.9,1.5,24,
29,Zach LaVine,29,SAC,SG,32,32,36.6,8.2,16,0.511,3.2,7.2,0.446,5,8.8,0.564,0.611,2.8,3.2,0.874,0.3,3.2,3.5,3.8,0.6,0.1,2.7,1.8,22.4,
30,Ja Morant,25,MEM,PG,50,50,30.4,8.1,17.8,0.454,1.8,5.7,0.309,6.3,12.1,0.523,0.504,5.3,6.4,0.824,0.7,3.4,4.1,7.3,1.2,0.2,3.7,2.3,23.2,
